ID,comentarios
17,me gusta la programacion
72,instalacion creacion dispositivo celular personal movil interface camara movimiento automatico matematica robot startup empresa imagen 
8,Me gusta mucho el aprendizaje automatico que pueden tener las computadoras
32,me gustaria hacer programas grandes con base de datos
15,me gusta organizar en equipo
63,me gustaria programar videojuegos
57,me gusta pintar dibujar colores interfaz
60,algoritmo aprendizaje maquina descifrador
48,autenticacion navegador depurador
26,usuario cliente Unix
12,navegador web diseño red conexion datos
62,cabeza crecer
3,actividad armar torre motivo desarrollar idea problema simple vista
49,forma idea negocio
55,actividad hacer torre trabajar equipo
77,construir torre equipo
0,torre cuenta organización poder hacer proyecto mejor
57,realizar actividad divertido
34,hacer torre gusto levantar torre grupo
29,construir torre equipo trabajar conjunto utilizar lograr objetivo
75,trabajo diferente
13,trabajar equipo
40,armar prototipo trabajar
3,actividad experiencia
2,trabajo programa convivir adecuadamente llegar producto final
3,explicar manera
69,dinámica torre ser poder
1,saber hacer proyecto
48,torre dinámica
27,idea realizar si límites establecido
54,dinámica forma
3,dinámica forma
67,diseñar torre equilibrio grupo objetivo
28,actividad intentar nunca hecho cuenta
56,forma punto vista específico
63,explicación proyecto creativo
70,clase gran ayuda brindar
29,nuevo innovador pensar forma diferente
44,bien mensaje
29,equipo cuestionario idea clara vamos hacer vamos interesante manera práctica
28,jugar divertido
58,trabajar equipo llegar objetivo
37,tema bien
2,profesor cuenta personas juego
53,manera explicar profesor
71,información actividad
12,concepto si programa
23,crear empresa
37,trabajar equipo actividad inteligencia
15,iniciativa programa forma potenciar mercado competir
42,escuchar vida real solamente
64,gusto clase personas
54,entusiasmo realizar buen trabajo equipo
64,gusto armar torre pensar encontrar manera torre
24,trabajar equipo lograr
38,trabajar equipo
36,torre alta
75,trabajo equipo
63,actividad colectivamente
64,reto trabajo diferente divertido innovador
50,saber programa interesante
75,poder compartir manera aprender
4,dinámico divertido
61,dinámica torre actividad diferente capacidad trabajar equipo
31,difícil divertido dinámico
51,reto emocionante
53,trabajar equipo lograr objetivo
22,mayor práctica
46,saber crear idea ser realidad
70,hacer torre capacidad resolver tomar eficiente objetivo
47,actividad realidad empresa proyecto iniciar cosa siempre vamos tener poder desarrollar cosa caso lograr principio
11,trabajar equipo
56,poder ver programa ayuda entender propósito hacer
65,trabajo equipo ayuda mejor aprender
13,gusto conversar futuro
20,querer hacer cosas par ayudar
66,explicación breve actividad dinámica
50,pensar solucionar problema social
47,pensar grupo sociedad
62,dinámica armar torre solo
3,gusto actividad realizar equipo poder construir torre alta punta
60,lado creativo nunca estructura si arquitectura
5,activo atento asesor comprender tema
39,idea solucionar tecnología bien
78,actividad equipo gusto trabajar gente buen trabajo
75,si fuerza
74,realización momento juntos
50,trabajo grupo
21,trabajo equipo objetivo finalidad similar
21,trabajar equipo
64,hora armar torre divertido
29,trabajar equipo
1,actividad gran reto
25,torre divertido comparación
69,trabajo realizar pedido
70,docente poder realizar
29,trabajar equipo
51,armar torre trabajo equipo emoción
65,reto pensar equipo
